Camera ID,Camera Name,Event Created At
5,PTZ-Oghi Solar,2024-05-16 10:01:58.110013+00:00
7,PTZ-Badrosha,2024-05-16 10:01:35.820607+00:00
7,PTZ-Badrosha,2024-05-16 09:50:02.568420+00:00
7,PTZ-Badrosha,2024-05-16 09:47:50.366251+00:00
3,PTZ-Danna Top,2024-05-16 09:36:53.679610+00:00
5,PTZ-Oghi Solar,2024-05-16 09:27:25.896697+00:00
3,PTZ-Danna Top,2024-05-16 09:06:12.092872+00:00
5,PTZ-Oghi Solar,2024-05-16 08:53:19.103555+00:00
3,PTZ-Danna Top,2024-05-16 08:35:01.875734+00:00
5,PTZ-Oghi Solar,2024-05-16 08:18:52.885446+00:00
3,PTZ-Danna Top,2024-05-16 08:04:24.704898+00:00
5,PTZ-Oghi Solar,2024-05-16 07:43:50.824138+00:00
5,PTZ-Oghi Solar,2024-05-16 07:09:18.496073+00:00
3,PTZ-Danna Top,2024-05-16 07:06:33.911156+00:00
3,PTZ-Danna Top,2024-05-16 06:35:43.102867+00:00
5,PTZ-Oghi Solar,2024-05-16 06:35:01.232027+00:00
3,PTZ-Danna Top,2024-05-16 06:05:03.804625+00:00
5,PTZ-Oghi Solar,2024-05-16 06:00:31.362729+00:00
3,PTZ-Danna Top,2024-05-16 05:34:13.145383+00:00
5,PTZ-Oghi Solar,2024-05-16 05:26:21.053956+00:00
8,PTZ-Massar Sector 14,2024-05-16 05:14:37.239946+00:00
3,PTZ-Danna Top,2024-05-16 05:03:56.858506+00:00
5,PTZ-Oghi Solar,2024-05-16 04:51:21.075188+00:00
8,PTZ-Massar Sector 14,2024-05-16 04:43:36.806552+00:00
3,PTZ-Danna Top,2024-05-16 04:32:35.597327+00:00
5,PTZ-Oghi Solar,2024-05-16 04:16:37.938948+00:00
8,PTZ-Massar Sector 14,2024-05-16 04:12:49.155063+00:00
3,PTZ-Danna Top,2024-05-16 04:01:49.874581+00:00
5,PTZ-Oghi Solar,2024-05-16 03:42:07.140556+00:00
8,PTZ-Massar Sector 14,2024-05-16 03:42:00.864572+00:00
3,PTZ-Danna Top,2024-05-16 03:31:04.528609+00:00
8,PTZ-Massar Sector 14,2024-05-16 03:11:16.204302+00:00
5,PTZ-Oghi Solar,2024-05-16 03:07:54.574159+00:00
3,PTZ-Danna Top,2024-05-16 03:01:33.608327+00:00
8,PTZ-Massar Sector 14,2024-05-16 02:40:27.933327+00:00
